Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner Name,Loser Name,Winner,Loser
Thu Nov 3 2016,Sacramento Kings,94,Orlando Magic,102,Orlando Magic,Sacramento Kings,ORL,SAC
Fri Nov 4 2016,Charlotte Hornets,99,Brooklyn Nets,95,Charlotte Hornets,Brooklyn Nets,CHA,BKN
Fri Nov 4 2016,New York Knicks,117,Chicago Bulls,104,New York Knicks,Chicago Bulls,NYK,CHI
Fri Nov 4 2016,Portland Trail Blazers,105,Dallas Mavericks,95,Portland Trail Blazers,Dallas Mavericks,POR,DAL
Fri Nov 4 2016,Golden State Warriors,97,Los Angeles Lakers,117,Los Angeles Lakers,Golden State Warriors,LAL,GSW
Fri Nov 4 2016,Los Angeles Clippers,99,Memphis Grizzlies,88,Los Angeles Clippers,Memphis Grizzlies,LAC,MEM
Fri Nov 4 2016,Phoenix Suns,112,New Orleans Pelicans,111,Phoenix Suns,New Orleans Pelicans,PHX,NOP
Fri Nov 4 2016,Miami Heat,87,Toronto Raptors,96,Toronto Raptors,Miami Heat,TOR,MIA
Fri Nov 4 2016,San Antonio Spurs,100,Utah Jazz,86,San Antonio Spurs,Utah Jazz,SAS,UTA
Fri Nov 4 2016,Atlanta Hawks,92,Washington Wizards,95,Washington Wizards,Atlanta Hawks,WAS,ATL
Sat Nov 5 2016,Houston Rockets,97,Atlanta Hawks,112,Atlanta Hawks,Houston Rockets,ATL,HOU
Sat Nov 5 2016,Denver Nuggets,86,Detroit Pistons,103,Detroit Pistons,Denver Nuggets,DET,DEN
Sat Nov 5 2016,Chicago Bulls,94,Indiana Pacers,111,Indiana Pacers,Chicago Bulls,IND,CHI
Sat Nov 5 2016,Sacramento Kings,91,Milwaukee Bucks,117,Milwaukee Bucks,Sacramento Kings,MIL,SAC
Sat Nov 5 2016,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Oklahoma City Thunder,Minnesota Timberwolves,OKC,MIN
Sat Nov 5 2016,Washington Wizards,86,Orlando Magic,88,Orlando Magic,Washington Wizards,ORL,WAS
Sat Nov 5 2016,Cleveland Cavaliers,102,Philadelphia 76ers,101,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI
Sat Nov 5 2016,Los Angeles Clippers,116,San Antonio Spurs,92,Los Angeles Clippers,San Antonio Spurs,LAC,SAS
Sun Nov 6 2016,Denver Nuggets,123,Boston Celtics,107,Denver Nuggets,Boston Celtics,DEN,BOS
Sun Nov 6 2016,Milwaukee Bucks,75,Dallas Mavericks,86,Dallas Mavericks,Milwaukee Bucks,DAL,MIL
Sun Nov 6 2016,Phoenix Suns,108,Los Angeles Lakers,119,Los Angeles Lakers,Phoenix Suns,LAL,PHX
