Player,Position,Age,Team,Games,Minutes Played,FG,FGA,FG%,EFG%,FT%,Rebound,Assist,Steal,Block,Points
Alfonzo McKinnie,SF,25,TOR,14,3.8,0.6,1.1,0.533,0.633,0.667,0.5,0.1,0.1,0.1,1.5
Marcus Georges-Hunt,SG,23,MIN,42,5.3,0.5,1.1,0.438,0.479,0.619,0.4,0.2,0.1,0,1.4
Omer Asik,C,31,NOP,14,8.6,0.5,1.1,0.438,0.438,0.333,2.6,0.1,0.1,0.1,1.3
Markel Brown,SG,26,HOU,4,7.8,0.5,1.8,0.286,0.357,,1.3,0.5,0,0,1.3
Tim Quarterman,SG,23,HOU,3,4.3,0.3,1,0.333,0.333,1,1,0.3,0,0,1.3
Ike Anigbogu,C,19,IND,11,2.7,0.4,0.8,0.444,0.444,0.833,0.8,0,0.1,0.3,1.2
Zhou Qi,C,22,HOU,18,6.9,0.3,1.8,0.188,0.219,0.667,1.2,0.1,0.1,0.8,1.2
Kadeem Allen,PG,25,BOS,18,5.9,0.3,1.2,0.273,0.273,0.778,0.6,0.7,0.2,0.1,1.1
Darrun Hilliard,SG,24,SAS,14,6.8,0.4,1.4,0.263,0.263,0.857,0.5,0.8,0.1,0,1.1
Matt Costello,C,24,SAS,4,8,0.5,1,0.5,0.5,,2.3,0.5,0.5,0.5,1
PJ Dozier,PG,21,OKC,2,1.5,0.5,1,0.5,0.5,,0.5,0,0,0,1
Kay Felder,PG,22,DET,2,3,0.5,2,0.25,0.25,,2,0,0,0,1
Reggie Hearn,SG,26,DET,3,2.3,0.3,0.7,0.5,0.75,,0,0,0,0,1
Scotty Hopson,SG,28,DAL,1,8,0,1,0,0,0.5,0,1,0,0,1
Jake Layman,SF,23,POR,35,4.6,0.4,1.3,0.298,0.34,0.667,0.5,0.3,0.2,0.1,1
Georges Niang,PF,24,UTA,9,3.6,0.4,1.2,0.364,0.364,0.5,1,0.3,0.2,0,1
Alex Poythress,PF,24,IND,25,4.2,0.4,1,0.423,0.5,,0.7,0.1,0.1,0,1
Rashad Vaughn,SG,21,ORL,5,7,0.4,1.2,0.333,0.417,,0.8,0,0.2,0,1
Derrick Williams,PF,26,LAL,2,4.5,0.5,2,0.25,0.25,,0.5,0,0,0,1
D.J. Wilson,PF,21,MIL,22,3.2,0.4,0.7,0.563,0.625,0.5,0.5,0.1,0.1,0,1
Tony Bradley,C,20,UTA,9,3.2,0.3,1.2,0.273,0.273,1,1.2,0.1,0,0,0.9
Julyan Stone,SG,29,CHO,23,7.6,0.3,0.6,0.462,0.692,0.5,1.3,1.1,0.2,0.1,0.8
Jacob Wiley,PF,23,BRK,5,6.6,0.2,0.8,0.25,0.375,0.5,2.2,0.4,0.2,0,0.8
Jacob Pullen,PG,28,PHI,3,2,0.3,0.7,0.5,0.5,,0,0,0,0,0.7
Willie Reed,C,27,DET,3,3,0.3,0.3,1,1,,0.3,0.3,0,0,0.7
Josh Smith,PF,32,NOP,3,4,0.3,1.3,0.25,0.25,,1.3,0,0,0,0.7
Cole Aldrich,C,29,MIN,21,2.3,0.2,0.7,0.333,0.333,0.333,0.7,0.1,0.1,0,0.6
Vander Blue,SG,25,LAL,5,9,0.2,1,0.2,0.2,0.5,0.2,0.6,0.2,0,0.6
Udonis Haslem,C,37,MIA,14,5.1,0.2,1.1,0.2,0.233,0.5,0.7,0.4,0,0.1,0.6
Charles Cooke,SG,23,NOP,13,2.9,0.2,1.1,0.143,0.179,0.5,0.2,0.1,0.1,0,0.5
Xavier Munford,SG,25,MIL,6,3.5,0.2,1,0.167,0.167,0.5,0.2,0.7,0.2,0,0.5
London Perrantes,PG,23,CLE,14,4.7,0.1,0.9,0.154,0.154,0.6,0.3,0.4,0.1,0.1,0.5
Nate Wolters,PG,26,UTA,5,3.8,0.2,1.2,0.167,0.167,,0.4,0.2,0,0,0.4
Chris Boucher,PF,25,GSW,1,1,0,1,0,0,,1,0,0,0,0
Nicolas Brussino,SF,24,ATL,4,2.5,0,0.5,0,0,,0.8,0,0,0,0
Isaiah Canaan,SG,26,HOU,1,4,0,1,0,0,,1,0,0,0,0
Jarell Eddie,SF,26,CHI,1,3,0,1,0,0,,0,0,0,0,0
Mindaugas Kuzminskas,SF,28,NYK,1,2,0,2,0,0,,0,0,0,0,0
Tyler Lydon,PF,21,DEN,1,2,0,0,,,,0,0,0,0,0
Erik McCree,SF,24,UTA,4,2,0,0.5,0,0,,0.3,0,0.3,0,0
Trey McKinney-Jones,SG,27,IND,1,1,0,0,,,,0,0,0,0,0
Josh McRoberts,PF,30,DAL,2,3,0,0.5,0,0,,0,0,0,0,0
Luis Montero,SG,24,DET,2,4,0,0.5,0,0,,1,0,0,0,0
Ben Moore,PF,22,IND,2,4.5,0,0,,,,0.5,0.5,0,0,0
Xavier Silas,SG,30,BOS,2,3.5,0,1.5,0,0,,1,0,0.5,0,0
