Player,Position,Age,Team,Games,Minutes Played,FG,FGA,FG%,EFG%,FT%,Rebound,Assist,Steal,Block,Points
Wesley Matthews,SF,31,DAL,63,33.8,4.5,11.1,0.406,0.516,0.822,3.1,2.7,1.2,0.3,12.7
Myles Turner,C,21,IND,65,28.2,4.7,9.8,0.479,0.523,0.777,6.4,1.3,0.6,1.8,12.7
Jonas Valanciunas,C,25,TOR,77,22.4,5.1,8.9,0.568,0.59,0.806,8.6,1.1,0.4,0.9,12.7
Jordan Clarkson,SG,25,CLE,28,22.6,4.7,10.3,0.456,0.533,0.81,2.1,1.7,0.7,0.1,12.6
Robert Covington,SF,27,PHI,80,31.7,4.3,10.5,0.413,0.534,0.853,5.4,2,1.7,0.9,12.6
Spencer Dinwiddie,PG,24,BRK,80,28.8,4.1,10.5,0.387,0.471,0.813,3.2,6.6,0.9,0.3,12.6
Serge Ibaka,PF,28,TOR,76,27.5,5,10.3,0.483,0.552,0.797,6.3,0.8,0.4,1.3,12.6
Jabari Parker,PF,22,MIL,31,24,5.2,10.7,0.482,0.529,0.741,4.9,1.9,0.8,0.3,12.6
E'Twaun Moore,SG,28,NOP,82,31.5,5.2,10.1,0.508,0.585,0.706,2.9,2.3,1,0.1,12.5
Darren Collison,PG,30,IND,69,29.2,4.6,9.2,0.495,0.571,0.882,2.6,5.3,1.3,0.2,12.4
Derrick Favors,C,26,UTA,77,28,5.1,9.1,0.563,0.573,0.651,7.2,1.3,0.7,1.1,12.3
Patrick Beverley,SG,29,LAC,11,30.4,4.4,10.8,0.403,0.504,0.824,4.1,2.9,1.6,0.5,12.2
Taj Gibson,PF,32,MIN,82,33.2,5.2,9,0.577,0.581,0.768,7.1,1.2,0.8,0.7,12.2
Justin Holiday,SG,28,CHI,72,31.5,4,10.9,0.371,0.474,0.823,4,2.1,1.1,0.4,12.2
Gerald Green,SG,32,HOU,41,22.7,4.1,10.1,0.407,0.54,0.85,3.2,0.6,0.6,0.4,12.1
Caris LeVert,SF,23,BRK,71,26.3,4.5,10.4,0.435,0.493,0.711,3.7,4.2,1.2,0.3,12.1
Andre Ingram,SG,32,LAL,2,32,4,8.5,0.471,0.618,1,3,3.5,1.5,1.5,12
DeAndre Jordan,C,29,LAC,77,31.5,4.8,7.5,0.645,0.645,0.58,15.2,1.5,0.5,0.9,12
Courtney Lee,SG,32,NYK,76,30.4,4.5,9.9,0.454,0.529,0.919,2.9,2.4,1.1,0.2,12
Dirk Nowitzki,C,39,DAL,77,24.7,4.5,9.8,0.456,0.547,0.898,5.7,1.6,0.6,0.6,12
Dwyane Wade,SG,36,MIA,21,22.2,4.8,11.8,0.409,0.427,0.745,3.4,3.1,0.9,0.7,12
Bogdan Bogdanovic,SG,25,SAC,78,27.9,4.4,9.9,0.446,0.529,0.84,2.9,3.3,0.9,0.2,11.8
Jae Crowder,SF,27,UTA,27,27.6,4.2,10.9,0.386,0.468,0.768,3.8,1.5,0.9,0.3,11.8
Robin Lopez,C,29,CHI,64,26.4,5.3,10.1,0.53,0.533,0.756,4.5,1.9,0.2,0.8,11.8
Kelly Oubre,SF,22,WAS,81,27.5,3.9,9.8,0.403,0.482,0.82,4.5,1.2,1,0.4,11.8
Elfrid Payton,PG,23,PHO,19,29,4.8,11,0.435,0.447,0.685,5.3,6.2,1,0.3,11.8
Thaddeus Young,PF,29,IND,81,32.2,5.2,10.7,0.487,0.521,0.598,6.3,1.9,1.7,0.4,11.8
Trevor Ariza,SF,32,HOU,67,33.9,4,9.7,0.412,0.542,0.854,4.4,1.6,1.5,0.2,11.7
Tyler Johnson,PG,25,MIA,72,28.5,4.3,9.9,0.435,0.518,0.822,3.4,2.3,0.8,0.5,11.7
J.J. Barea,PG,33,DAL,69,23.2,4.4,10,0.439,0.522,0.784,2.9,6.3,0.5,0,11.6
Nicolas Batum,SG,29,CHO,64,31,4.2,10.2,0.415,0.486,0.831,4.8,5.5,1,0.4,11.6
De'Aaron Fox,PG,20,SAC,73,27.8,4.5,10.9,0.412,0.441,0.723,2.8,4.4,1,0.3,11.6
Domantas Sabonis,C,21,IND,74,24.5,4.6,8.9,0.514,0.524,0.75,7.7,2,0.5,0.4,11.6
Rudy Gay,PF,31,SAS,57,21.6,4.4,9.4,0.471,0.506,0.772,5.1,1.3,0.8,0.7,11.5
Joe Ingles,SF,30,UTA,82,31.4,4.1,8.8,0.467,0.609,0.795,4.2,4.8,1.1,0.2,11.5
Markieff Morris,PF,28,WAS,73,27,4.5,9.4,0.48,0.536,0.82,5.6,1.9,0.8,0.5,11.5
Kelly Olynyk,PF,26,MIA,76,23.4,4.2,8.4,0.497,0.58,0.77,5.7,2.7,0.8,0.5,11.5
Reggie Bullock,SF,26,DET,62,27.9,4.3,8.8,0.489,0.603,0.796,2.5,1.5,0.8,0.2,11.3
Terry Rozier,PG,23,BOS,80,25.9,4,10,0.395,0.491,0.772,4.7,2.9,1,0.2,11.3
Wayne Ellington,SG,30,MIA,77,26.5,3.7,9.1,0.407,0.569,0.859,2.8,1,0.7,0.1,11.2
Frank Kaminsky,PF,24,CHO,79,23.2,3.9,9.1,0.429,0.501,0.799,3.6,1.6,0.5,0.2,11.1
Dillon Brooks,SF,22,MEM,82,28.7,4.1,9.4,0.44,0.501,0.747,3.1,1.6,0.9,0.2,11
Draymond Green,PF,27,GSW,70,32.7,4,8.8,0.454,0.516,0.775,7.6,7.3,1.4,1.3,11
Montrezl Harrell,C,24,LAC,76,17,4.6,7.2,0.635,0.636,0.626,4,1,0.5,0.7,11
Ish Smith,PG,29,DET,82,24.9,4.7,9.8,0.486,0.507,0.698,2.7,4.4,0.8,0.2,10.9
Jeff Green,PF,31,CLE,78,23.4,3.8,7.9,0.477,0.52,0.868,3.2,1.3,0.5,0.4,10.8
